app,category,installs_clean,rating,price_clean
WhatsApp Messenger,COMMUNICATION,1000000000,4.4,0.0
Google Play Books,BOOKS_AND_REFERENCE,1000000000,3.9,0.0
Subway Surfers,GAME,1000000000,4.5,0.0
Maps - Navigate & Explore,TRAVEL_AND_LOCAL,1000000000,4.3,0.0
Gmail,COMMUNICATION,1000000000,4.3,0.0
Instagram,SOCIAL,1000000000,4.5,0.0
Facebook,SOCIAL,1000000000,4.1,0.0
Google Chrome: Fast & Secure,COMMUNICATION,1000000000,4.3,0.0
Google+,SOCIAL,1000000000,4.2,0.0
YouTube,VIDEO_PLAYERS,1000000000,4.3,0.0
Google Street View,TRAVEL_AND_LOCAL,1000000000,4.2,0.0
Google,TOOLS,1000000000,4.4,0.0
Google Drive,PRODUCTIVITY,1000000000,4.4,0.0
Google Play Games,ENTERTAINMENT,1000000000,4.3,0.0
Google Photos,PHOTOGRAPHY,1000000000,4.5,0.0
Messenger – Text and Video Chat for Free,COMMUNICATION,1000000000,4.0,0.0
Google News,NEWS_AND_MAGAZINES,1000000000,3.9,0.0
Google Play Movies & TV,VIDEO_PLAYERS,1000000000,3.7,0.0
Skype - free IM & video calls,COMMUNICATION,1000000000,4.1,0.0
Hangouts,COMMUNICATION,1000000000,4.0,0.0
